full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,117458,117458,19547,92,92,12,https://github.com/anthropics/claude-code
claude-code-best/claude-code,16808,16808,15407,30,30,10,https://github.com/claude-code-best/claude-code
affaan-m/everything-claude-code,165691,165691,25716,293,293,48,https://github.com/affaan-m/everything-claude-code
jarmuine/claude-code,2064,2064,5787,3,3,2,https://github.com/jarmuine/claude-code
yasasbanukaofficial/claude-code,2802,2802,4226,4,4,4,https://github.com/yasasbanukaofficial/claude-code
shareAI-lab/learn-claude-code,56098,56098,9233,90,90,14,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9003,9003,14546,3,3,3,https://github.com/ChinaSiro/claude-code-sourcemap
codeaashu/claude-code,2287,2287,3100,5,5,2,https://github.com/codeaashu/claude-code
tanbiralam/claude-code,1540,1540,2416,3,3,5,https://github.com/tanbiralam/claude-code
pengchengneo/Claude-Code,1237,1237,2222,4,4,3,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,67,67,7315,0,0,-3,https://github.com/RishabhK103/claude-code
hesreallyhim/awesome-claude-code,40687,40687,3382,68,68,7,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,47752,47752,4699,80,80,6,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,32839,32839,2620,25,25,4,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,25069,25069,2486,33,33,6,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,775,775,1128,4,4,2,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,178,178,2278,0,0,3,https://github.com/Onewon/claude-code
oboard/claude-code-rev,3053,3053,3768,4,4,1,https://github.com/oboard/claude-code-rev
Donchitos/Claude-Code-Game-Studios,15880,15880,2267,70,70,13,https://github.com/Donchitos/Claude-Code-Game-Studios
ponponon/claude_code_src,2185,2185,3486,1,1,0,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,18167,18167,2069,29,29,2,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,7263,7263,1755,3,3,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,9426,9426,1684,18,18,3,https://github.com/Piebald-AI/claude-code-system-prompts
Alishahryar1/free-claude-code,6110,6110,1020,426,426,70,https://github.com/Alishahryar1/free-claude-code
diet103/claude-code-infrastructure-showcase,9553,9553,1215,3,3,0,https://github.com/diet103/claude-code-infrastructure-showcase
liuup/claude-code-analysis,1954,1954,1432,11,11,5,https://github.com/liuup/claude-code-analysis
T-Lab-CUHKSZ/claude-code,292,292,588,1,1,1,https://github.com/T-Lab-CUHKSZ/claude-code
frankbria/ralph-claude-code,8814,8814,659,9,9,1,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,758,758,1740,1,1,0,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7911,7911,582,6,6,0,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,2237,2237,2211,2,2,1,https://github.com/chauncygu/collection-claude-code-source-code
pedrohcgs/claude-code-my-workflow,980,980,1995,3,3,7,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5835,5835,540,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
lintsinghua/claude-code-book,2925,2925,669,6,6,1,https://github.com/lintsinghua/claude-code-book
huangserva/claude-code-cli,562,562,1292,1,1,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3783,3783,554,0,0,0,https://github.com/OneRedOak/claude-code-workflows
alex000kim/claude-code,219,219,324,0,0,0,https://github.com/alex000kim/claude-code
1rgs/claude-code-proxy,3474,3474,458,4,4,0,https://github.com/1rgs/claude-code-proxy
zebbern/claude-code-guide,3997,3997,385,9,9,3,https://github.com/zebbern/claude-code-guide
777genius/claude-code-source-code,899,899,1117,0,0,-1,https://github.com/777genius/claude-code-source-code
lorryjovens-hub/claude-code-rust,1447,1447,588,7,7,1,https://github.com/lorryjovens-hub/claude-code-rust
xorespesp/claude-code,221,221,305,0,0,-1,https://github.com/xorespesp/claude-code
VineeTagarwaL-code/claude-code,273,273,269,0,0,0,https://github.com/VineeTagarwaL-code/claude-code
anthropics/skills,123145,123145,14377,188,188,24,https://github.com/anthropics/skills
disler/claude-code-hooks-mastery,3565,3565,600,1,1,0,https://github.com/disler/claude-code-hooks-mastery
Maciek-roboblog/Claude-Code-Usage-Monitor,7756,7756,388,10,10,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
FlorianBruniaux/claude-code-ultimate-guide,3876,3876,526,7,7,2,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
kodu-ai/claude-coder,5277,5277,199,0,0,0,https://github.com/kodu-ai/claude-coder
zstmfhy/Claude-code,190,190,285,0,0,0,https://github.com/zstmfhy/Claude-code
nicedreamzapp/claude-code-local,2123,2123,407,7,7,2,https://github.com/nicedreamzapp/claude-code-local
Yuyz0112/claude-code-reverse,2358,2358,404,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
wanshuiyin/Auto-claude-code-research-in-sleep,7392,7392,700,22,22,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
anthropics/claude-code-security-review,4362,4362,394,1,1,1,https://github.com/anthropics/claude-code-security-review
fuergaosi233/claude-code-proxy,2489,2489,354,4,4,0,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2493,2493,350,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
freestylefly/claude-code,124,124,293,0,0,0,https://github.com/freestylefly/claude-code
sickn33/antigravity-awesome-skills,34844,34844,5746,38,38,6,https://github.com/sickn33/antigravity-awesome-skills
