full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,72458,72458,5742,114,114,6,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,56583,56583,6972,222,222,37,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,20107,20107,4025,202,202,29,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,28708,28708,2210,19,19,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,21764,21764,2056,28,28,4,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,25749,25749,1592,31,31,4,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5938,5938,1484,5,5,3,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,12048,12048,1296,33,33,8,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9102,9102,1176,2,2,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7397,7397,524,9,9,2,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,5142,5142,734,26,26,3,https://github.com/Piebald-AI/claude-code-system-prompts
ChrisWiles/claude-code-showcase,5415,5415,462,4,4,1,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3673,3673,542,3,3,1,https://github.com/OneRedOak/claude-code-workflows
shanraisshan/claude-code-best-practice,6246,6246,548,30,30,8,https://github.com/shanraisshan/claude-code-best-practice
1rgs/claude-code-proxy,3111,3111,413,2,2,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3186,3186,572,3,3,0,https://github.com/disler/claude-code-hooks-mastery
kodu-ai/claude-coder,5291,5291,200,0,0,0,https://github.com/kodu-ai/claude-coder
zebbern/claude-code-guide,3496,3496,325,2,2,0,https://github.com/zebbern/claude-code-guide
Yuyz0112/claude-code-reverse,2130,2130,365,3,3,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6733,6733,328,3,3,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
ykdojo/claude-code-tips,3818,3818,269,36,36,1,https://github.com/ykdojo/claude-code-tips
anthropics/skills,80638,80638,8456,323,323,44,https://github.com/anthropics/skills
fuergaosi233/claude-code-proxy,2075,2075,295,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2417,2417,256,0,0,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-security-review,3488,3488,277,10,10,0,https://github.com/anthropics/claude-code-security-review
anthropics/claude-code-base-action,589,589,589,0,0,0,https://github.com/anthropics/claude-code-base-action
pedrohcgs/claude-code-my-workflow,499,499,685,4,4,9,https://github.com/pedrohcgs/claude-code-my-workflow
Pimzino/claude-code-spec-workflow,3468,3468,248,4,4,0,https://github.com/Pimzino/claude-code-spec-workflow
router-for-me/CLIProxyAPI,12515,12515,2013,87,87,18,https://github.com/router-for-me/CLIProxyAPI
wshobson/agents,29894,29894,3276,25,25,7,https://github.com/wshobson/agents
https-deeplearning-ai/sc-claude-code-files,435,435,592,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
siteboon/claudecodeui,7496,7496,958,11,11,1,https://github.com/siteboon/claudecodeui
edmund-io/edmunds-claude-code,1244,1244,259,0,0,0,https://github.com/edmund-io/edmunds-claude-code
qwibitai/nanoclaw,17216,17216,2745,194,194,22,https://github.com/qwibitai/nanoclaw
eyaltoledano/claude-task-master,25709,25709,2444,5,5,1,https://github.com/eyaltoledano/claude-task-master
RichardAtCT/claude-code-telegram,1827,1827,214,11,11,1,https://github.com/RichardAtCT/claude-code-telegram
snarktank/ralph,11726,11726,1277,28,28,1,https://github.com/snarktank/ralph
ding113/claude-code-hub,1563,1563,195,8,8,2,https://github.com/ding113/claude-code-hub
feiskyer/claude-code-settings,1244,1244,186,1,1,0,https://github.com/feiskyer/claude-code-settings
EveryInc/compound-engineering-plugin,9720,9720,775,7,7,0,https://github.com/EveryInc/compound-engineering-plugin
sugyan/claude-code-webui,937,937,212,0,0,0,https://github.com/sugyan/claude-code-webui
lst97/claude-code-sub-agents,1435,1435,231,0,0,1,https://github.com/lst97/claude-code-sub-agents
carlvellotti/claude-code-pm-course,1519,1519,224,4,4,1,https://github.com/carlvellotti/claude-code-pm-course
github/spec-kit,73106,73106,6275,67,67,9,https://github.com/github/spec-kit
ghuntley/claude-code-source-code-deobfuscation,850,850,414,2,2,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
nishimoto265/Claude-Code-Communication,492,492,238,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
centminmod/my-claude-code-setup,1923,1923,180,0,0,0,https://github.com/centminmod/my-claude-code-setup
sickn33/antigravity-awesome-skills,17839,17839,3215,94,94,15,https://github.com/sickn33/antigravity-awesome-skills
rizethereum/claude-code-requirements-builder,1748,1748,172,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
darcyegb/ClaudeCodeAgents,570,570,51,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
andrepimenta/claude-code-chat,994,994,152,0,0,0,https://github.com/andrepimenta/claude-code-chat
slopus/happy,13957,13957,1077,30,30,1,https://github.com/slopus/happy
disler/claude-code-hooks-multi-agent-observability,1219,1219,346,2,2,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
Njengah/claude-code-cheat-sheet,1376,1376,171,1,1,1,https://github.com/Njengah/claude-code-cheat-sheet
steipete/claude-code-mcp,1145,1145,139,1,1,0,https://github.com/steipete/claude-code-mcp
farion1231/cc-switch,22373,22373,1377,177,177,14,https://github.com/farion1231/cc-switch
bfly123/claude_code_bridge,1365,1365,124,11,11,1,https://github.com/bfly123/claude_code_bridge
anthropics/claude-plugins-official,8718,8718,854,20,20,4,https://github.com/anthropics/claude-plugins-official
obra/superpowers,67310,67310,5159,330,330,25,https://github.com/obra/superpowers
trailofbits/claude-code-config,1440,1440,108,2,2,2,https://github.com/trailofbits/claude-code-config
peterkrueck/Claude-Code-Development-Kit,1313,1313,149,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
zhukunpenglinyutong/idea-claude-code-gui,1425,1425,152,8,8,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
winfunc/opcode,20730,20730,1600,4,4,0,https://github.com/winfunc/opcode
catlog22/Claude-Code-Workflow,1378,1378,113,5,5,0,https://github.com/catlog22/Claude-Code-Workflow
JessyTsui/Claude-Code-Remote,1117,1117,122,3,3,0,https://github.com/JessyTsui/Claude-Code-Remote
EnzeD/vibe-coding,3989,3989,1333,1,1,3,https://github.com/EnzeD/vibe-coding
pchalasani/claude-code-tools,1511,1511,97,2,2,0,https://github.com/pchalasani/claude-code-tools
jarrodwatts/claude-code-config,951,951,120,0,0,1,https://github.com/jarrodwatts/claude-code-config
simonw/claude-code-transcripts,1072,1072,122,0,0,1,https://github.com/simonw/claude-code-transcripts
0xfurai/claude-code-subagents,734,734,139,1,1,0,https://github.com/0xfurai/claude-code-subagents
wasabeef/claude-code-cookbook,1018,1018,111,0,0,1,https://github.com/wasabeef/claude-code-cookbook
ComposioHQ/awesome-claude-skills,39371,39371,3905,137,137,14,https://github.com/ComposioHQ/awesome-claude-skills
revfactory/claude-code-mastering,756,756,122,0,0,0,https://github.com/revfactory/claude-code-mastering
cixingguangming55555/wechat-bot,2532,2532,668,0,0,0,https://github.com/cixingguangming55555/wechat-bot
jeremylongshore/claude-code-plugins-plus-skills,1478,1478,176,2,2,2,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
alirezarezvani/claude-code-tresor,555,555,133,1,1,1,https://github.com/alirezarezvani/claude-code-tresor
anthropics/claude-agent-sdk-demos,1562,1562,246,2,2,0,https://github.com/anthropics/claude-agent-sdk-demos
alirezarezvani/claude-skills,2141,2141,278,23,23,2,https://github.com/alirezarezvani/claude-skills
d-kimuson/claude-code-viewer,927,927,103,0,0,0,https://github.com/d-kimuson/claude-code-viewer
anthropics/claude-agent-sdk-python,5096,5096,675,6,6,0,https://github.com/anthropics/claude-agent-sdk-python
numman-ali/openskills,8651,8651,558,10,10,0,https://github.com/numman-ali/openskills
code-yeongyu/oh-my-opencode,35966,35966,2718,139,139,6,https://github.com/code-yeongyu/oh-my-opencode
browser-use/browser-use,79327,79327,9380,32,32,6,https://github.com/browser-use/browser-use
ericbuess/claude-code-docs,710,710,101,0,0,0,https://github.com/ericbuess/claude-code-docs
MadAppGang/claude-code,241,241,25,0,0,0,https://github.com/MadAppGang/claude-code
zarazhangrui/frontend-slides,7415,7415,501,92,92,9,https://github.com/zarazhangrui/frontend-slides
kn1026/cc,703,703,270,0,0,0,https://github.com/kn1026/cc
opactorai/Claudable,3759,3759,562,1,1,-1,https://github.com/opactorai/Claudable
Alishahryar1/free-claude-code,719,719,91,13,13,1,https://github.com/Alishahryar1/free-claude-code
severity1/claude-code-prompt-improver,1168,1168,99,0,0,0,https://github.com/severity1/claude-code-prompt-improver
greggh/claude-code.nvim,1872,1872,60,0,0,0,https://github.com/greggh/claude-code.nvim
lyconear/Claude-Code,4,4,146,0,0,0,https://github.com/lyconear/Claude-Code
